GRB,Gamma,Gamma+err,Gamma-err,sigma,z
050724,1.58,0.21,0.19,1.26,0.2578
051016B,1.85,0.14,0.13,1.31,0.9364
051227,2.1,0.4,0.4,1.31,2.8
060614,1.78,0.08,0.08,1.06,0.1254
061006,2.1,0.6,0.4,1.61,0.4377
061210,2.6,1.92,0.71,3.48,0.4095
070714B,1.79,0.24,0.22,1.15,0.9224
071227,1.5,0.6,0.5,1.02,0.381
080123,2.46,1.04,0.70,1.71,0.39
080503,2.38,0.42,0.16,1.24,0.39
100212A,1.99,0.40,0.18,1.37,0.39
100522A,2.40,0.17,0.16,2.45,0.39
111121A,1.78,0.21,0.20,1.42,0.39
150424A,1.98,0.24,0.22,1.23,0.39
160410A,1.5,0.7,0.6,1.02,1.717
